name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;conditions;icon;stations
london;2013-11-22T00:00:00;4.8;4.8;0.5;73.77;0;0;;0;0;;0.1;4;1013.8;40.1;37.4;;;;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T01:00:00;4.3;4.3;0.3;75.28;0;0;;0;0;;0.1;7;1014;10;45.7;;;;Clear;clear-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T02:00:00;4.1;4.1;0.5;77.43;0;0;;0;0;;0.1;5;1014.2;10;47.4;;;;Clear;clear-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T03:00:00;4.1;4.1;0.8;79.12;0;0;;0;0;;0.1;6;1014.5;10;47.5;;;;Clear;clear-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T04:00:00;4.3;4.3;1.5;82.04;0;0;;0;0;;0.1;15;1014.8;41.2;48.6;;;;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T05:00:00;5;5;2.1;81.54;0;0;;0;0;;0.1;13;1015.3;78;42.6;;;;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T06:00:00;4.8;4.8;1.3;78.12;0;0;;0;0;;0.1;5;1015.7;44.5;44.1;;;;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T07:00:00;4.3;4.3;0.8;78.03;0;0;;0;0;;0.1;9;1016.2;36.1;37.5;;;;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T08:00:00;4.3;4.3;0.8;78.01;0;0;;0;0;;0.1;6;1016.7;53.3;41.8;;;;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T09:00:00;5.3;5.3;1.1;74.36;0;0;;0;0;;0.1;4;1017.1;56.4;41.1;;;;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T10:00:00;6.3;6.3;1;68.92;0;0;;0;0;;0.1;13;1017.8;78.6;41.1;;;;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-11-22T11:00:00;6.8;6.8;1.1;67.06;0;0;;0;0;37.1;0.2;14;1017.9;69.7;42.4;;;;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
