name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;conditions;icon;stations
london;2013-09-01T00:00:00;14.6;14.6;4.7;51.3;0;0;;0;0;;0;322;1029.9;93.8;37.7;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T01:00:00;13.8;13.8;5.1;55.68;0;0;;0;0;;0;321;1030.2;94.3;34.4;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T02:00:00;13.6;13.6;5.4;57.73;0;0;;0;0;;0;311;1030.3;94.1;38.8;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T03:00:00;13.3;13.3;5.7;59.95;0;0;;0;0;;0;289;1030.3;93.8;25.4;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T04:00:00;12.8;12.8;5.6;61.64;0;0;;0;0;;0;302;1030.4;93.9;27.1;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T05:00:00;12.5;12.5;5.7;63.26;0;0;;0;0;;0;279;1030.1;93.9;36.1;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T06:00:00;10.8;10.8;5.7;70.62;0;0;;0;0;;0;273;1030.4;94.4;37.5;9.5;0;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T07:00:00;10.8;10.8;5.9;71.56;0;0;;0;0;;0;259;1030.7;90;31.4;55.7;0.2;1;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T08:00:00;11.6;11.6;6.8;72.04;0;0;;0;0;;0;265;1031;90;31.8;111.6;0.4;1;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-09-01T09:00:00;12.8;12.8;7.7;70.76;0;0;;0;0;;0.1;278;1031.2;90;32.1;201.3;0.7;2;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
