name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;conditions;icon;stations
london;2013-10-12T00:00:00;12.3;12.3;10.5;88.29;0;0;;0;0;49.2;0.2;25;1017.4;99.1;6;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T01:00:00;12.5;12.5;10.5;87.54;0.012;100;rain;0;0;50.8;0.2;23;1017.1;99.1;14.6;0;;0;Rain, Overcast;rain;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T02:00:00;12.3;12.3;10.7;89.9;0;0;;0;0;51.8;0.2;23;1016.6;97.2;11.6;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T03:00:00;12.6;12.6;10.8;88.28;0;0;;0;0;47.5;0.2;23;1015.6;96.5;12.3;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T04:00:00;12.8;12.8;11;88.42;0;0;;0;0;48.2;0.2;24;1015.2;95.6;12.5;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T05:00:00;12.8;12.8;10.4;85.14;0;0;;0;0;51.6;0.1;66;1015.6;83.4;7.3;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T06:00:00;11.1;11.1;10.3;95.4;0;0;;0;0;46.4;0.1;82;1016.7;68.8;13.1;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T07:00:00;10;10;9;93.12;0.021;100;rain;0;0;;0.1;90;1017.8;82.3;18.7;4.3;0;0;Rain, Partially cloudy;rain;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T08:00:00;9.6;9.6;7.9;88.92;0;0;;0;0;;0.1;91;1018.8;82.7;20.3;89.1;0.3;1;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T09:00:00;9.2;9.2;7.2;87.83;0;0;;0;0;;0.1;91;1019.6;29.4;18.2;241.8;0.9;2;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T10:00:00;10.4;10.4;6.8;78.54;0;0;;0;0;;0.1;96;1019.8;65.7;23.2;370.3;1.3;4;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T11:00:00;12.1;12.1;6.2;67.14;0;0;;0;0;;0.1;83;1020.1;19.7;26.7;463.4;1.7;5;Clear;clear-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T12:00:00;14.5;14.5;6.1;57.09;0;0;;0;0;;0.1;84;1020.3;56.9;31.4;519.3;1.9;5;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T13:00:00;14.8;14.8;6.5;57.33;0;0;;0;0;;0.1;63;1020.4;64.5;34.4;451.6;1.6;5;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03772099999,03770099999
london;2013-10-12T14:00:00;13.3;13.3;5.8;60.13;0;0;;0;0;;0.1;72;1020;42.2;42.6;320.1;1.2;3;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T15:00:00;14.8;14.8;5.6;53.78;0;0;;0;0;;0.1;93;1019.7;63;40.7;197.2;0.7;2;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T16:00:00;13.3;13.3;5.2;57.74;0;0;;0;0;;0;38;1019;83.9;42.6;101.2;0.4;1;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T17:00:00;12.8;12.8;5.7;61.74;0;0;;0;0;;0;36;1018.7;90;43.9;32.6;0.1;0;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T18:00:00;12.1;12.1;6.4;68.15;0;0;;0;0;;0;326;1018.9;52.7;40.4;1.3;0;0;Partially cloudy;partly-cloudy-day;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T19:00:00;10.1;10.1;7;80.69;0;0;;0;0;;0;260;1018.4;52.8;26.2;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T20:00:00;8.7;8.7;6.6;86.97;0;0;;0;0;;0;266;1018.3;49.1;16.3;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T21:00:00;8.6;8.6;6.9;89.22;0;0;;0;0;;0.1;263;1017.7;46.5;17.1;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T22:00:00;9.3;9.3;7.1;85.9;0;0;;0;0;;0.1;252;1017.5;76.7;23.3;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-12T23:00:00;9.8;9.8;7.2;83.63;0;0;;0;0;;0;242;1017.3;79.1;26.1;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-13T00:00:00;10;10;7.3;83.14;0;0;;0;0;;0.1;248;1016.6;90.9;18.8;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-13T01:00:00;9.5;9.5;7.5;87.02;0;0;;0;0;;0.1;251;1016.1;89.8;15;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-13T02:00:00;9.6;9.6;7.4;86.19;0;0;;0;0;;0.1;261;1015.8;93.6;18.7;0;;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-13T03:00:00;9.6;9.6;7.5;86.41;0;0;;0;0;;0.1;263;1014.7;70.6;14.8;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-13T04:00:00;10.1;10.1;7.7;85.07;0;0;;0;0;;0.1;263;1014;78.2;16.4;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-10-13T05:00:00;9.6;9.6;8;89.51;0;0;;0;0;;0.1;254;1013.2;87.2;18;0;;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
