name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;conditions;icon;stations
london;2013-12-01T00:00:00;3;3;0.8;85.51;0;0;;0;0;;0;283;1032.1;25.6;14.9;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T01:00:00;2.6;2.6;0.6;86.71;0;0;;0;0;;0;229;1031.9;33.7;12.8;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T02:00:00;2.6;2.6;1.1;89.86;0;0;;0;0;;0;226;1031.8;32.2;13.6;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T03:00:00;3.1;3.1;1.1;86.75;0;0;;0;0;;0;267;1031.9;52.2;14.4;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T04:00:00;3.6;3.6;1.1;83.75;0;0;;0;0;;0;286;1031.6;90;17.5;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T05:00:00;4.3;4.3;1.3;80.91;0;0;;0;0;;0;265;1031.2;98.2;22;0;0;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T06:00:00;4.6;4.6;1.7;80.94;0;0;;0;0;;0;282;1031.7;99.1;21.4;0;0;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T07:00:00;5.1;5.1;2.2;81.01;0;0;;0;0;;0;269;1032.1;96.5;22;0;0;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T08:00:00;5.3;5.3;2.4;81.04;0;0;;0;0;;0;299;1032.5;96.5;21;18.4;0.1;0;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T09:00:00;6;6;3.1;81.72;0;0;;0;0;;0;291;1032.8;93.7;23.4;68.8;0.2;1;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T10:00:00;6.8;6.8;3.6;79.55;0;0;;0;0;;0;276;1033.2;96.5;21.8;123.5;0.4;1;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T11:00:00;7.6;7.6;3.9;76.93;0;0;;0;0;;0;283;1033.1;93.7;23.4;181.6;0.7;2;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T12:00:00;8.6;8.6;4.2;73.41;0;0;;0;0;;0;317;1032.9;96.5;30.9;180.2;0.6;2;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
london;2013-12-01T13:00:00;9.6;9.6;4.7;71.07;0;0;;0;0;;0.1;323;1032.8;93.7;27.4;143.8;0.5;1;Overcast;cloudy;03769099999,03680099999,03672099999,03781099999,03772099999,03770099999
