,Predictions,Actuals
0,0.02112497,0.0
1,0.02112497,0.0
2,0.02112497,0.0
3,0.02112497,0.0
4,0.02112497,0.0
5,0.02112497,5.720920948186093e-12
6,0.02112497,3.120020632500342e-11
7,0.02112497,6.182955007190158e-11
8,0.02112497,9.594089795167778e-11
9,0.02112497,1.1290517494986634e-10
10,0.02112497,8.934799175170526e-11
11,0.02112497,6.861712621717697e-11
12,0.02112497,1.5878960244310603e-11
13,0.02112497,0.0
14,0.02112497,0.0
15,0.02112497,0.0
16,0.02112497,0.0
17,0.02112497,0.0
18,0.02112497,0.0
19,0.02112497,0.0
20,0.02112497,0.0
21,0.02112497,0.0
22,0.02112497,0.0
23,0.02112497,0.0
24,0.02112497,0.0
25,0.02112497,0.0
26,0.02112497,0.0
27,0.02112497,0.0
28,0.02112497,0.0
29,0.02112497,4.742354923084029e-11
30,0.02112497,1.8396224969057262e-10
31,0.02112497,3.1064318722061283e-10
32,0.02112497,3.5146449889474415e-10
33,0.02112497,3.685678860565202e-10
34,0.02112497,3.6832062592332e-10
35,0.02112497,2.7767610688884613e-10
36,0.02112497,1.194293752670044e-10
37,0.02112497,0.0
38,0.02112497,0.0
39,0.02112497,0.0
40,0.02112497,0.0
41,0.02112497,0.0
42,0.02112497,0.0
43,0.02112497,0.0
44,0.02112497,0.0
45,0.02112497,0.0
46,0.02112497,0.0
47,0.02112497,0.0
48,0.02112497,0.0
49,0.02112497,0.0
50,0.02112497,0.0
51,0.02112497,0.0
52,0.02112497,0.0
53,0.02112497,8.295315113618844e-12
54,0.02112497,5.637285357247e-11
55,0.02112497,1.9090208557060712e-10
56,0.02112497,1.6126560057094487e-10
57,0.02112497,1.6123167078315205e-10
58,0.02112497,1.3772029227800336e-10
59,0.02112497,7.629789503287899e-11
60,0.02112497,1.8808339623905554e-11
61,0.02112497,0.0
62,0.02112497,0.0
63,0.02112497,0.0
64,0.02112497,0.0
65,0.02112497,0.0
66,0.02112497,0.0
67,0.02112497,0.0
68,0.02112497,0.0
69,0.02112497,0.0
70,0.02112497,0.0
71,0.02112497,0.0
72,0.02112497,0.0
73,0.02112497,0.0
74,0.02112497,0.0
75,0.02112497,0.0
76,0.02112497,0.0
77,0.02112497,3.33738082698932e-11
78,0.02112497,1.7017461336186335e-10
