datetime;temp;solarradiation;solarenergy
2013-06-21T00:00:00;16.6;0;
2013-06-21T01:00:00;16;0;
2013-06-21T02:00:00;15.3;0;
2013-06-21T03:00:00;15.1;0;
2013-06-21T04:00:00;15.1;0.2;0
2013-06-21T05:00:00;14.6;19.8;0.1
2013-06-21T06:00:00;14.5;53.7;0.2
2013-06-21T07:00:00;14.6;97.6;0.4
2013-06-21T08:00:00;14.8;141.3;0.5
2013-06-21T09:00:00;15.5;186.1;0.7
2013-06-21T10:00:00;15.8;249.5;0.9
2013-06-21T11:00:00;16.1;379;1.4
2013-06-21T12:00:00;16.6;555.5;2
2013-06-21T13:00:00;17.9;697.5;2.5
2013-06-21T14:00:00;20.1;641.5;2.3
2013-06-21T15:00:00;19.6;441.8;1.6
2013-06-21T16:00:00;20.8;347.6;1.3
2013-06-21T17:00:00;19.2;350.6;1.3
2013-06-21T18:00:00;20.1;294.5;1.1
2013-06-21T19:00:00;20.3;156.1;0.6
2013-06-21T20:00:00;19.6;48.5;0.2
2013-06-21T21:00:00;18.6;0.4;0
2013-06-21T22:00:00;18.1;0;
2013-06-21T23:00:00;17;0;
2013-06-22T00:00:00;16.3;0;
2013-06-22T01:00:00;15.1;0;
2013-06-22T02:00:00;14.1;0;
2013-06-22T03:00:00;13.3;0;
2013-06-22T04:00:00;13.1;0.2;0
2013-06-22T05:00:00;12.1;15;0.1
2013-06-22T06:00:00;12;51.6;0.2
2013-06-22T07:00:00;12.1;88.7;0.3
2013-06-22T08:00:00;12.6;161.4;0.6
2013-06-22T09:00:00;13.3;250.4;0.9
2013-06-22T10:00:00;14.6;398.9;1.4
2013-06-22T11:00:00;17.6;596.3;2.1
2013-06-22T12:00:00;16.8;781.8;2.8
2013-06-22T13:00:00;18.3;822.8;3
2013-06-22T14:00:00;17.3;730.5;2.6
2013-06-22T15:00:00;15.7;648;2.3
2013-06-22T16:00:00;15.8;437.6;1.6
2013-06-22T17:00:00;16.3;330.9;1.2
2013-06-22T18:00:00;15.5;198.8;0.7
2013-06-22T19:00:00;15.3;114.2;0.4
2013-06-22T20:00:00;15.1;33.1;0.1
2013-06-22T21:00:00;14.6;0.3;0
2013-06-22T22:00:00;14.3;0;
2013-06-22T23:00:00;13.5;0;
2013-06-23T00:00:00;13.8;0;
2013-06-23T01:00:00;13.8;0;
2013-06-23T02:00:00;13.8;0;
2013-06-23T03:00:00;13.6;0;
2013-06-23T04:00:00;13.1;0.2;0
2013-06-23T05:00:00;13.1;28.3;0.1
2013-06-23T06:00:00;13.6;115.8;0.4
2013-06-23T07:00:00;14.3;252.6;0.9
2013-06-23T08:00:00;14.8;400.6;1.4
2013-06-23T09:00:00;15.8;589.3;2.1
2013-06-23T10:00:00;15.8;743.5;2.7
2013-06-23T11:00:00;16.1;817.8;2.9
2013-06-23T12:00:00;16.3;854;3.1
2013-06-23T13:00:00;16.6;806.3;2.9
2013-06-23T14:00:00;16.3;582.3;2.1
2013-06-23T15:00:00;16.6;512.8;1.8
2013-06-23T16:00:00;16.6;408.3;1.5
2013-06-23T17:00:00;16.6;279.9;1
2013-06-23T18:00:00;16.6;137.8;0.5
2013-06-23T19:00:00;16.3;102.5;0.4
2013-06-23T20:00:00;15.8;32.4;0.1
2013-06-23T21:00:00;13;0.3;0
2013-06-23T22:00:00;12.6;0;
2013-06-23T23:00:00;12.5;0;
2013-06-24T00:00:00;12.5;0;
2013-06-24T01:00:00;11.2;0;
2013-06-24T02:00:00;11;0;
2013-06-24T03:00:00;11.5;0;
2013-06-24T04:00:00;10.8;0.4;0
2013-06-24T05:00:00;11.3;47;0.2
2013-06-24T06:00:00;11.3;167.1;0.6
2013-06-24T07:00:00;11.5;320.5;1.2
2013-06-24T08:00:00;11.6;486.9;1.8
2013-06-24T09:00:00;12.6;616;2.2
2013-06-24T10:00:00;13.3;699.5;2.5
2013-06-24T11:00:00;14;728;2.6
2013-06-24T12:00:00;14.3;695.5;2.5
2013-06-24T13:00:00;14.5;694.8;2.5
2013-06-24T14:00:00;15.3;763.3;2.7
2013-06-24T15:00:00;15.4;739.8;2.7
2013-06-24T16:00:00;15.2;615;2.2
2013-06-24T17:00:00;16.1;359.3;1.3
